COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Curaçao,CUW,AMRO,REPORTING,2023-01-20,256029,108601,156.027,66.183,99955,60.914,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-02-24,3,47473,28.931
Cyprus,CYP,EURO,REPORTING,2022-12-25,1847465,667902,208,75.214,655870,73.859,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-23,5,486513,54.787
Czechia,CZE,EURO,REPORTING,2023-01-01,18578127,6969979,173.7,65.177,6885426,64.386,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5",2020-12-23,7,4359238,40.764
Democratic Republic of the Congo,COD,AFRO,REPORTING,2022-12-11,9988117,9145982,11.152,10.212,6848697,7.647,SII - Covishield,2021-04-19,1,,
Denmark,DNK,EURO,REPORTING,2023-01-08,15122383,4802281,259.7,82.474,4789226,82.25,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-16,5,3671513,63.054
Djibouti,DJI,EMRO,REPORTING,2022-12-07,338051,317428,34.216,32.128,297060,30.067,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-15,11,,
Dominica,DMA,AMRO,REPORTING,2023-01-20,67647,32995,93.966,45.832,30659,42.587,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-12,5,3993,5.547
Dominican Republic,DOM,AMRO,REPORTING,2023-01-20,15903021,7304113,146.6,67.332,6076183,56.012,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",2021-02-16,3,2522725,23.255
Ecuador,ECU,AMRO,REPORTING,2023-01-20,39394757,15322262,223.288,86.846,14223540,80.618,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-20,4,7673771,43.495
Egypt,EGY,EMRO,REPORTING,2023-01-22,101357078,53839162,99.045,52.611,40162146,39.246,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-24,10,10129368,9.898
El Salvador,SLV,AMRO,REPORTING,2023-01-20,11343183,4641961,174.882,71.567,4381204,67.546,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-17,6,1870848,28.843
Equatorial Guinea,GNQ,AFRO,REPORTING,2022-07-24,488738,270109,34.836,19.252,214032,15.255,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",2021-02-12,2,4597,0.328
Eritrea,ERI,AFRO,REPORTING,2022-07-03,,0,,0,0,0,,,,,
Estonia,EST,EURO,REPORTING,2023-01-08,2189920,844677,164.8,63.558,835572,62.873,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5",2020-12-23,8,485868,36.56
Eswatini,SWZ,AFRO,REPORTING,2023-01-15,820794,507582,70.748,43.751,413251,35.62,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-19,3,158034,13.622
Ethiopia,ETH,AFRO,REPORTING,2022-07-31,52509414,43111242,45.675,37.5,36707357,31.93,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-13,4,2421781,2.107
Falkland Islands (Malvinas),FLK,AMRO,REPORTING,2022-06-21,9390,3220,269.595,92.449,2976,85.444,AstraZeneca - AZD1222,,1,2543,73.012
Faroe Islands,FRO,EURO,OWID,2022-02-18,103894,41715,212.614,85.368,40895,83.69,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2,21284,43.557
Fiji,FJI,WPRO,REPORTING,2022-11-03,1545993,710767,172.458,79.287,639428,71.329,"AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield",2021-03-07,3,168323,18.777
Finland,FIN,EURO,REPORTING,2023-01-08,13204202,4545881,239,82.274,4362980,78.964,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-23,5,3080926,55.76
France,FRA,EURO,REPORTING,2023-01-08,157206259,54634803,233.5,81.157,53136001,78.93,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-30,6,40936035,60.808
French Guiana,GUF,AMRO,REPORTING,2023-01-20,240209,99718,80.423,33.386,90071,30.156,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-13,2,45970,15.391
French Polynesia,PYF,WPRO,REPORTING,2022-09-30,498258,190658,177.374,67.872,186038,66.227,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-01-18,2,112237,39.955
Gabon,GAB,AFRO,REPORTING,2022-11-27,572672,311040,25.73,13.975,257378,11.564,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2021-03-23,3,2589,0.116
Gambia,GMB,AFRO,REPORTING,2022-11-13,815861,934799,33.76,38.681,454613,18.812,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-10,2,31322,1.296
Georgia,GEO,EURO,REPORTING,2022-11-27,2727974,1296336,68.4,32.496,1182310,29.638,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-17,4,249328,6.25
Germany,DEU,EURO,REPORTING,2023-01-08,192798040,64841957,231.8,77.966,63539560,76.4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron  - Generic,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron - Generic,Unknown Vaccine,Valneva - VLA2001",2020-12-23,9,52090188,62.633
Ghana,GHA,AFRO,REPORTING,2023-01-15,22384226,12853113,72.038,41.364,9806758,31.56,"Gamaleya - Gam-Covid-Vac,SII - Covishield",2021-03-02,2,3102301,9.984
Gibraltar,GIB,EURO,OWID,2022-12-16,132810,42175,394.2,125.182,41465,123.074,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2,49170,145.944
Greece,GRC,EURO,REPORTING,2023-01-08,21917786,7913651,204.5,73.831,7740878,72.219,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5",2020-12-23,7,5901981,55.063
Greenland,GRL,EURO,OWID,2022-03-14,79738,41227,140.453,72.619,38511,67.834,Moderna - mRNA-1273,,1,,
Grenada,GRD,AMRO,REPORTING,2023-01-20,90507,44180,80.434,39.263,38975,34.637,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-15,5,7352,6.534
Guadeloupe,GLP,AMRO,REPORTING,2023-01-20,396778,151439,99.164,37.848,145530,36.371,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-01-08,7,88434,22.102
Guam,GUM,WPRO,REPORTING,2022-08-23,368088,155225,218.094,91.972,141014,83.551,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-04,3,72131,42.738
Guatemala,GTM,AMRO,REPORTING,2023-01-20,20056469,8876706,111.95,49.547,7056543,39.388,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-25,5,3614340,20.174
Guernsey,GGY,EURO,OWID,2022-12-19,178525,54223,276.92,84.108,52710,81.761,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3,69339,107.556
Guinea,GIN,AFRO,REPORTING,2022-12-04,8749048,6087292,66.62,46.352,3293736,25.08,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-05,6,223977,1.705
Guinea-Bissau,GNB,AFRO,REPORTING,2022-12-04,673091,774740,34.202,39.367,426325,21.663,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-04-02,2,906,0.046
Guyana,GUY,AMRO,REPORTING,2023-01-20,953690,493404,121.249,62.73,380118,48.327,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-11,7,75969,9.658
Haiti,HTI,AMRO,REPORTING,2023-01-20,515718,406534,4.523,3.565,238352,2.09,"Janssen - Ad26.COV 2-S,Moderna - Spikevax",,2,,
Honduras,HND,AMRO,REPORTING,2023-01-20,16912440,6454805,170.753,65.17,5772495,58.281,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,6,4685515,47.306
Hungary,HUN,EURO,REPORTING,2023-01-08,16557752,6357328,169.5,65.073,6150793,62.959,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Sinovac - CoronaVac",2020-12-23,8,3867327,39.586
Iceland,ISL,EURO,REPORTING,2022-12-18,863954,307196,237.3,84.37,297829,81.791,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-30,5,254021,69.76
India,IND,SEARO,REPORTING,2023-01-24,2203275159,1025702187,159.657,74.326,951657934,68.961,"Bharat - Covaxin,Biological E - Corbevax,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,SII - Covishield,SII - Covovax,Zydus - ZyCov-D",2021-01-16,8,225915038,16.371
Indonesia,IDN,SEARO,REPORTING,2023-01-17,444303130,203657535,162.437,74.457,172693321,63.137,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-13,7,67952274,24.843
Iran (Islamic Republic of),IRN,EMRO,REPORTING,2023-01-16,154942435,65132600,184.471,77.545,58527648,69.682,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Shifa - COVIran Barakat,Sinovac - CoronaVac",2021-02-09,12,31282187,37.244
Iraq,IRQ,EMRO,REPORTING,2023-01-02,19557364,11332925,48.623,28.176,7944775,19.752,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-02,10,275280,0.684
Ireland,IRL,EURO,REPORTING,2022-12-18,12163445,4103613,245,85.279,4056253,81.706,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-30,5,3037989,61.195
Isle of Man,IMN,EURO,OWID,2022-06-23,189994,69560,223.438,81.804,67106,78.919,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3,53328,62.715
Israel,ISR,EURO,REPORTING,2022-06-05,15026951,7055466,173.6,81.514,6385731,73.776,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-16,3,1585754,18.321
Italy,ITA,EURO,REPORTING,2023-01-08,149861273,50574889,251.3,84.803,49477426,82.958,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5",2020-12-23,8,44871467,75.235
Jamaica,JAM,AMRO,REPORTING,2023-01-20,1509702,845520,50.983,28.554,745634,25.18,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-10,5,45664,1.542
Japan,JPN,WPRO,REPORTING,2023-01-06,371971415,104548672,294.103,82.663,103144685,81.552,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-02-17,4,85278522,67.426
Jersey,JEY,EURO,OWID,2023-01-15,266729,84358,247.439,78.257,81862,75.942,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3,73647,68.321
Jordan,JOR,EMRO,REPORTING,2022-08-21,10057975,4821579,98.577,47.256,4558313,44.676,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-13,10,682211,6.686
Kazakhstan,KAZ,EURO,REPORTING,2023-01-01,33496177,12371772,178.4,65.889,13042908,69.463,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,RIBSP - QazVac,Sinovac - CoronaVac",2021-04-07,5,6711796,35.745
Kenya,KEN,AFRO,REPORTING,2023-01-08,23132128,14242625,43.019,26.487,10864421,20.205,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-05,5,1782416,3.315
Kiribati,KIR,WPRO,REPORTING,2023-01-17,215382,99607,180.313,83.389,79836,66.837,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",2021-05-26,2,35939,30.087
Kosovo,XKX,EURO,REPORTING,2022-10-23,1836162,904372,102.3,50.364,824562,45.92,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-03-31,2,105424,5.871
Kuwait,KWT,EMRO,REPORTING,2023-01-22,8257593,3455871,193.36,80.923,3344375,78.312,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-28,10,1457347,34.125
Kyrgyzstan,KGZ,EURO,REPORTING,2023-01-01,3057013,1489449,46.9,22.83,1314542,20.149,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,RIBSP - QazVac",2021-03-31,6,253022,3.878
Lao People's Democratic Republic,LAO,WPRO,REPORTING,2022-11-21,12788802,6089817,175.778,83.702,5422886,74.536,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-11-25,8,2026888,27.859
Latvia,LVA,EURO,REPORTING,2023-01-08,2971770,1343942,155.8,70.449,1304260,68.369,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-30,5,549116,28.785
Lebanon,LBN,EMRO,REPORTING,2022-12-22,5814699,2740227,85.192,40.147,2414223,35.371,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-14,10,660249,9.673
Lesotho,LSO,AFRO,REPORTING,2022-12-11,1259488,998183,58.793,46.595,925976,43.224,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-10,3,137883,6.436
Liberia,LBR,AFRO,REPORTING,2022-12-11,4460668,3903802,88.196,77.186,3730967,73.768,SII - Covishield,2021-04-01,1,1987,0.039
Libya,LBY,EMRO,REPORTING,2023-01-16,3739158,2316327,54.417,33.71,1236102,17.989,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-04-11,10,186729,2.718
Liechtenstein,LIE,OTHER,REPORTING,2022-04-10,71104,26681,183.5,68.86,26346,67.995,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-06,3,18310,47.255
Lithuania,LTU,EURO,REPORTING,2023-01-01,4526395,1955747,162,70.15,1906327,68.227,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-23,5,901085,32.25
Luxembourg,LUX,EURO,REPORTING,2023-01-08,1335147,469207,213.2,74.94,462609,73.886,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5",2020-12-30,8,368155,58.801
Madagascar,MDG,AFRO,REPORTING,2023-01-15,2514403,2183010,9.08,7.883,2107097,7.609,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-05-10,3,116188,0.42
Malawi,MWI,AFRO,REPORTING,2023-01-08,6876517,4932472,35.946,25.784,3927293,20.53,"Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-11,2,1832738,9.58
Malaysia,MYS,WPRO,REPORTING,2023-01-08,72388208,28122430,223.655,86.889,27533870,85.07,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-24,8,16284512,50.314
Maldives,MDV,SEARO,REPORTING,2022-12-26,951419,399151,176.011,73.842,385081,71.24,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-01,8,167187,30.929
Mali,MLI,AFRO,REPORTING,2023-01-15,4713015,3494626,23.273,17.257,2847193,14.06,SII - Covishield,2021-03-31,1,,
Malta,MLT,EURO,REPORTING,2022-12-25,1279015,450483,248.6,87.547,444863,86.454,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4,352414,68.488
Marshall Islands,MHL,WPRO,REPORTING,2022-12-28,85198,45627,143.93,77.08,39571,66.85,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-29,3,18559,31.353
Martinique,MTQ,AMRO,REPORTING,2023-01-20,399655,150469,106.499,40.097,145217,38.697,Pfizer BioNTech - Comirnaty,,1,92603,24.677
Mauritania,MRT,AFRO,REPORTING,2022-12-25,4066473,2098993,87.457,45.143,1537298,33.063,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-26,2,382922,8.235
Mauritius,MUS,AFRO,REPORTING,2023-01-01,2613037,1123773,205.465,88.363,1088142,85.561,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",2021-01-26,3,639517,50.286
Mexico,MEX,AMRO,REPORTING,2023-01-20,225063079,99071001,174.558,76.839,81849962,63.483,"AstraZeneca - Vaxzevria,CanSino - Convidecia,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-24,8,57026630,44.23
Micronesia (Federated States of),FSM,WPRO,REPORTING,2022-08-20,170346,70204,148.097,61.035,66174,57.531,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-13,4,30537,26.549
Monaco,MCO,EURO,REPORTING,2022-12-04,71027,25319,181,64.517,24933,63.533,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax - Covavax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2021-06-30,7,17806,45.373
Mongolia,MNG,WPRO,REPORTING,2023-01-13,5666656,2283821,172.854,69.665,2185007,66.651,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-23,6,1058061,32.275
Montenegro,MNE,EURO,REPORTING,2022-12-04,523735,272152,83.4,43.763,251583,40.456,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2021-02-24,5,0,0
Montserrat,MSR,AMRO,REPORTING,2023-01-20,4619,2104,92.398,42.088,1952,39.048,AstraZeneca - Vaxzevria,2021-02-08,1,563,11.262
Morocco,MAR,EMRO,REPORTING,2023-01-22,55370997,25017159,150.014,67.778,23518299,63.717,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-28,10,6873655,18.622
Mozambique,MOZ,AFRO,REPORTING,2023-01-08,29140427,18640008,93.233,59.638,18454569,59.044,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-08,3,1007597,3.224
Myanmar,MMR,SEARO,REPORTING,2022-06-18,64549994,34777314,118.637,63.917,27545329,50.626,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-01-27,2,2227351,4.094
Namibia,NAM,AFRO,REPORTING,2023-01-15,976964,817482,38.449,32.173,529074,20.822,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-19,4,105478,4.151
Nauru,NRU,WPRO,REPORTING,2022-07-11,24143,10493,222.845,96.853,8585,79.241,"AstraZeneca - Vaxzevria,SII - Covishield",2021-04-09,2,5065,46.751
Nepal,NPL,SEARO,REPORTING,2023-01-17,60789000,27678479,208.633,94.995,24159118,82.916,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-27,8,8951403,30.722
Netherlands,NLD,EURO,REPORTING,2022-09-11,36105753,12776868,207.4,73.398,11957152,68.689,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2021-01-06,6,9417108,54.098
New Caledonia,NCL,WPRO,REPORTING,2023-01-03,478127,192206,167.471,67.323,184645,64.675,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-01-20,2,101276,35.473
New Zealand,NZL,WPRO,REPORTING,2023-01-13,11966477,4248830,248.152,88.109,4091011,84.836,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-02-19,4,2717379,56.351
Nicaragua,NIC,AMRO,REPORTING,2023-01-20,12144072,6182972,183.319,93.334,5961100,89.985,"AstraZeneca - Vaxzevria,CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-03,9,,
Niger,NER,AFRO,REPORTING,2022-12-11,7187711,6072321,29.693,25.085,5308074,21.928,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-29,2,,
Nigeria,NGA,AFRO,REPORTING,2023-01-08,108052995,76507342,52.417,37.114,63966056,31.03,SII - Covishield,2021-03-05,1,9755313,4.732
